,VendorID,passenger_count,trip_distance,RatecodeID,PULocationID,DOLocationID,payment_type,improvement_surcharge,Airport_fee,temperature_avg,precipitation,is_raining,hour,day_of_week,is_weekend,month,day_of_month,week_of_year,quarter,is_holiday,trip_duration_minutes,avg_speed_mph,distance_squared,duration_squared,temp_fahrenheit,temp_deviation,extreme_weather,same_borough,pickup_density,hourly_pickup_count,zone_hourly_pickup_count,is_peak_hour,is_late_night,surge_likelihood,trip_complexity,extreme_distance_flag,zero_distance_flag,rain_rush_hour,weather_distance,peak_hour_distance
VendorID,1.0,0.0953328464967832,0.008081446279773497,-0.10083475843928318,-0.0035958477309174716,-0.005179737576838454,-0.002466110038649243,-0.008116466025949108,,-0.004490680995757011,-0.000847423553829801,6.740862831517916e-05,0.009860628890007285,0.01531972983626375,0.018944780839976673,0.0026748438312193426,-0.003551902919916521,0.006698122093284103,0.0026822473105304312,0.007077615238316993,0.017385528362627287,-0.0009766737412067442,0.0011945292756568068,0.016223111585460772,-0.004490680995757011,-0.004490680995757015,6.740862831517916e-05,-0.025210336462317955,0.0023049621562070857,-0.010940682313086666,0.005306896546194914,-0.007767186772917577,0.01673248173787575,-0.00873410997370071,0.0011399497791986146,0.018779470543844518,,-0.0051358123714642,0.005754664350106633,0.0029481376789738086
passenger_count,0.0953328464967832,1.0,0.0076722779929808025,-0.023713733448225853,-0.012813547367334597,-0.007857327742723144,0.01808070024395415,-0.0024303936947394473,,0.005310256119272239,0.014783189324980815,0.020887235500700214,0.013450392636886773,0.047805210914276544,0.059632582317287845,-0.0009526163051668484,-0.028033966875560822,0.03885991324197564,-0.0009305140113278258,0.040735046293932715,0.021279570126983845,-0.0009993969349512207,-0.0004510612698774404,0.011413181370463092,0.005310256119272239,0.00531025611927224,0.020887235500700214,-0.01812775071475668,0.002932063103794069,-0.005015386742884008,-0.001227700479713694,-0.04143106395588849,0.016627089563774507,-0.010565574694062739,-0.0004617417050782209,0.037723357481387366,,-0.02349902054200629,0.007643934896557439,7.78292767594495e-05
trip_distance,0.008081446279773497,0.0076722779929808025,1.0,0.020779665227661847,-0.028658640560356944,-0.02482628804895485,-0.0013104729526995655,0.0009309707217002507,,0.005652770486423283,0.00023451970569902405,0.0019616562910161396,0.0013536561850092364,-0.002599873462226971,0.0013903146209738359,-0.00012327085616934758,-0.00861822353890997,0.008357680115203086,-0.00013378114518283583,0.008575918112469036,0.05057726154108276,0.18395605569223092,0.97105090570336,0.0027592637503695778,0.005652770486423283,0.005652770486423283,0.0019616562910161396,-0.18363705458834845,0.043721246516521275,-0.023428826799948572,0.0395212569072355,-0.010787609371767369,0.006777988897196588,-0.024986909659658472,0.8251866573171217,0.19763201766289598,,-0.00651287557947842,0.9865400773332974,0.5677511732420386
RatecodeID,-0.10083475843928318,-0.023713733448225853,0.020779665227661847,1.0,-0.0409099838226371,-0.03149512937839498,-0.028056228768096745,0.002452870108731319,,0.008199210700980314,0.001721586499547732,0.000916330947455494,-0.03152221799737846,-0.014657275781935491,-0.017257493496850535,-5.245910386754686e-05,-0.006652389298403065,-0.004008483486302837,-9.989559977473273e-06,-0.00385829524273046,0.03507614953312251,0.0010981901905841723,-9.924905771103767e-05,0.00012370191556915178,0.008199210700980314,0.008199210700980316,0.000916330947455494,-0.07477497139342136,-0.08111554989234265,-0.02809514065643395,-0.07499932582741554,0.0003260738511777172,0.0005668889915721554,-0.007793911582727596,3.756791373599437e-05,0.05672347854777895,,0.0012476520815283322,0.013623343705372609,0.010496630997723591
PULocationID,-0.0035958477309174716,-0.012813547367334597,-0.028658640560356944,-0.0409099838226371,1.0,0.07672293773736234,-0.02722604842593891,0.005113954853860946,,0.002814046125697249,-0.003929438969877084,-0.005200412382367732,0.014784808625124195,-0.027628981307915162,-0.035127170792158234,-0.0006638078236084752,0.009533655824461758,-0.02250905510990909,-0.0007221291896047857,-0.02314716762062554,-0.03063339616687599,-0.001338224725976125,0.002938584711764919,-0.003500410843595355,0.002814046125697249,0.002814046125697258,-0.005200412382367732,0.07775511806957305,0.20463760978845286,0.054859852030712156,0.1602079416324398,0.03171966827622218,-0.06347274203831596,0.01710657185678797,0.0026145294337621026,-0.08939490498716729,,0.02315159183066867,-0.01809107059257439,-0.010387997408565408
DOLocationID,-0.005179737576838454,-0.007857327742723144,-0.02482628804895485,-0.03149512937839498,0.07672293773736234,1.0,-0.03585839292060306,0.0007812017617974177,,2.8396263477065497e-05,-0.005983343687593565,-0.006742464424547148,0.023428590002137522,-0.02556787211911414,-0.030499363079326228,-0.0010215340996906836,0.011571064127034002,-0.02093546926038612,-0.0009957667505066717,-0.021688608837688823,-0.027948768181287907,-0.001205965315750039,0.0008164038860539627,-0.0022555544737565677,2.8396263477065497e-05,2.839626347706142e-05,-0.006742464424547148,0.09092190287079718,0.0654859870488754,0.05727281833071703,0.053865040788392174,0.024225285741711493,-0.05498226930923112,0.021564412427995925,0.0005214584377596646,-0.05674806211419128,,0.014234994553089311,-0.016556733834837512,-0.009630595745838083
payment_type,-0.002466110038649243,0.01808070024395415,-0.0013104729526995655,-0.028056228768096745,-0.02722604842593891,-0.03585839292060306,1.0,-0.0046107507230754375,,0.02908771483254394,0.01550888308445684,0.019692127459594526,-0.027013787904925785,-0.003148627136535743,0.0028957654196025066,0.00038322101042533567,-0.040139676975190955,0.023301644750286492,0.00047031531397416574,0.02502439631089433,0.0023521252215711083,0.005081605429803844,-0.0001824627987716818,0.005672225811806875,0.02908771483254394,0.02908771483254395,0.019692127459594526,0.0013513990838292683,-0.006837218878469447,-0.04090631790697976,-0.030798871327542127,-0.03450050304291561,0.006977462073480509,-0.04723233390960039,0.0002247384927303802,-0.0025745458577906776,,-0.018349033620914817,0.0009375931312873474,-0.004262349307885303
improvement_surcharge,-0.008116466025949108,-0.0024303936947394473,0.0009309707217002507,0.002452870108731319,0.005113954853860946,0.0007812017617974177,-0.0046107507230754375,1.0,,-0.008533307735760517,-0.003942008936626043,-0.006612682889493303,0.008115082265246022,0.002996646574525757,0.002186294160842368,-0.015815423789116965,0.011508251908813893,-0.0023640941966091974,-0.018737376428413315,-0.002639028476455969,-0.0033967593273305425,0.00015339665348724636,9.007923929919144e-05,-0.0029438132373114183,-0.008533307735760517,-0.008533307735760517,-0.006612682889493303,-0.004101963830363828,0.0015714116360028797,0.007486528751058757,0.002707361297691801,0.0015304054948301596,-0.0036472272061071993,0.002172320135137046,8.667906394047474e-05,0.001515590032703129,,-0.0012628568171226806,0.0003652823470613119,0.0007439338738256923
Airport_fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temperature_avg,-0.004490680995757011,0.005310256119272239,0.005652770486423283,0.008199210700980314,0.002814046125697249,2.8396263477065497e-05,0.02908771483254394,-0.008533307735760517,,1.0,0.7249533173761414,0.6398547861632452,0.01551401452211952,-0.10749433341104637,-0.38006197186672763,5.765653406928159e-05,-0.6587763162341919,0.2506389167496971,5.781611682733772e-05,0.2816003253954635,0.01203630763503071,0.0006060482816009187,0.00037290271082996205,0.002058124631597179,1.0,0.9999999999999999,0.6398547861632452,-0.016698898802143255,0.013497783428104971,-0.034671698679720836,-0.020047330720436084,0.16219176086679638,-0.039825356504047615,-0.04422396755808044,0.0002136764000485647,0.0187829789317746,,0.37236453802873865,0.06245431519070796,0.023545946332734106
