feature,coefficient,abs_coefficient
trip_distance,70.31156213342167,70.31156213342167
distance_squared,-66.51784287465973,66.51784287465973
pickup_borough_EWR,47.92611126389075,47.92611126389075
dropoff_borough_EWR,22.03857422703168,22.03857422703168
pickup_borough_Staten Island,-6.977739180773916,6.977739180773916
trip_duration_minutes,1.9016285898585297,1.9016285898585297
duration_squared,-1.6921861040952297,1.6921861040952297
avg_speed_mph,-1.6302387899829907,1.6302387899829907
weather_distance,-1.583327292835115,1.583327292835115
traffic_volume_category_medium,-1.470886526879947,1.470886526879947
dropoff_borough_Manhattan,1.40574588046589,1.40574588046589
dropoff_borough_Brooklyn,1.3401137156439162,1.3401137156439162
dropoff_borough_Queens,1.0556360712928488,1.0556360712928488
pickup_borough_Manhattan,1.008547297045319,1.008547297045319
pickup_borough_Brooklyn,0.881262147883195,0.881262147883195
extreme_distance_flag,-0.7077580778475594,0.7077580778475594
hourly_pickup_count,0.6567143656460992,0.6567143656460992
quarter,0.6197021237069578,0.6197021237069578
same_borough,-0.6079040250118588,0.6079040250118588
month,-0.5963843015023444,0.5963843015023444
time_of_day_factor_night,-0.5142582116866999,0.5142582116866999
pickup_borough_Queens,0.38882320532277603,0.38882320532277603
time_of_day_factor_evening,-0.3176142859371289,0.3176142859371289
VendorID,0.25176054161319705,0.25176054161319705
time_of_day_factor_morning,0.22498006448516072,0.22498006448516072
pickup_density,-0.22240493963269614,0.22240493963269614
hour,-0.14653203817321314,0.14653203817321314
zone_hourly_pickup_count,0.12735471991767433,0.12735471991767433
peak_hour_distance,0.11548695450043045,0.11548695450043045
dropoff_borough_Staten Island,-0.11412561468326388,0.11412561468326388
surge_likelihood,-0.11162686317622672,0.11162686317622672
is_raining,0.10565025296261821,0.10565025296261821
extreme_weather,0.10565025296253339,0.10565025296253339
is_peak_hour,-0.09606582198034808,0.09606582198034808
passenger_count,0.08900591396870938,0.08900591396870938
is_holiday,0.07670228087018272,0.07670228087018272
DOLocationID,0.07305662042021766,0.07305662042021766
is_weekend,-0.07273710698924285,0.07273710698924285
RatecodeID,-0.07122543027841433,0.07122543027841433
week_of_year,0.06886659383038363,0.06886659383038363
payment_type,0.050694063409365775,0.050694063409365775
day_type_weekend,-0.04900168522110615,0.04900168522110615
rain_rush_hour,-0.04846357912215993,0.04846357912215993
is_late_night,-0.04343349174601485,0.04343349174601485
improvement_surcharge,0.04052939055571664,0.04052939055571664
PULocationID,-0.03730708755016554,0.03730708755016554
day_type_weekday,0.033013671265354816,0.033013671265354816
day_of_month,0.030227994849391315,0.030227994849391315
store_and_fwd_flag_Y,-0.027785396221043257,0.027785396221043257
precipitation,-0.02581028101583005,0.02581028101583005
day_of_week,0.01629287520553846,0.01629287520553846
temperature_avg,0.011679155607866143,0.011679155607866143
temp_deviation,0.011679155607687619,0.011679155607687619
temp_fahrenheit,0.011679155607687619,0.011679155607687619
trip_complexity,0.009557332558758347,0.009557332558758347
Airport_fee,8.926193117986259e-14,8.926193117986259e-14
zero_distance_flag,7.105427357601002e-15,7.105427357601002e-15
