feature,importance
distance_squared,0.46148376270305846
trip_distance,0.44874232892089444
RatecodeID,0.0412828392756547
duration_squared,0.01865025036648599
trip_duration_minutes,0.01742618449582455
avg_speed_mph,0.0018822894954909203
DOLocationID,0.0015192066462135988
pickup_density,0.0008877952077866216
hourly_pickup_count,0.0008626619305371542
PULocationID,0.000828528408499734
zone_hourly_pickup_count,0.0006534406372627662
weather_distance,0.000634982933194535
surge_likelihood,0.0006144145076715361
payment_type,0.0005095698811581657
VendorID,0.0005043532990104568
hour,0.00044117947829351096
trip_complexity,0.00040776096969969414
day_of_month,0.00028273651438606354
dropoff_borough_EWR,0.0002093852877885868
day_of_week,0.0002018815226586694
traffic_volume_category_medium,0.0001786169129106265
passenger_count,0.0001709929040586793
pickup_borough_Manhattan,0.00016980977612345838
peak_hour_distance,0.00016411179653826041
precipitation,0.00012450150536623078
improvement_surcharge,0.0001135144286115848
same_borough,0.00011158654326525671
pickup_borough_Queens,0.00010399648438927465
week_of_year,0.00010070811138456566
temperature_avg,9.225748091939546e-05
dropoff_borough_Manhattan,8.679715411213929e-05
temp_deviation,8.143866842867626e-05
temp_fahrenheit,8.067445343746269e-05
time_of_day_factor_night,6.90116325653306e-05
time_of_day_factor_morning,4.933730656207509e-05
dropoff_borough_Queens,4.269987279018887e-05
pickup_borough_EWR,3.109781702221253e-05
time_of_day_factor_evening,3.096191232261309e-05
dropoff_borough_Brooklyn,3.032395288247829e-05
rain_rush_hour,2.7837034827355e-05
day_type_weekend,2.0664039243334575e-05
day_type_weekday,1.7537205280115265e-05
is_peak_hour,1.664652039486707e-05
is_holiday,1.2421296453438756e-05
is_late_night,1.2392581768624797e-05
is_weekend,1.2347059757366478e-05
pickup_borough_Brooklyn,7.224794195418222e-06
dropoff_borough_Staten Island,5.754117361820124e-06
store_and_fwd_flag_Y,3.431991038596372e-06
extreme_weather,3.3396987362862366e-06
is_raining,1.9346378332668255e-06
extreme_distance_flag,3.7675785550868695e-07
pickup_borough_Staten Island,1.0106999334670561e-07
month,0.0
Airport_fee,0.0
quarter,0.0
zero_distance_flag,0.0
